Day,Angle (deg),X,Y
194,190.87912087912088,-33.339802393797996,-6.407635000113496
195,191.86813186813188,-33.57244765048233,-7.055324291399819
196,192.85714285714286,-33.80552555621277,-7.7158906065350035
197,193.84615384615387,-34.03830818432895,-8.389689462497273
198,194.83516483516485,-34.27005069006772,-9.077042850006357
199,195.82417582417582,-34.49999334504818,-9.778238789545782
200,196.81318681318683,-34.72736354742642,-10.493531000558063
201,197.8021978021978,-34.951377800229714,-11.223138679381886
202,198.7912087912088,-35.17124365110854,-11.967246381105404
203,199.7802197802198,-35.386161587476415,-12.72600400018874
204,200.76923076923077,-35.59532688172942,-13.499526844459904
205,201.75824175824175,-35.79793138194656,-14.287895796907364
206,202.74725274725276,-35.993165244155534,-15.091157559572636
207,203.73626373626374,-36.18021860290832,-15.909324973786836
208,204.72527472527474,-36.358283177534666,-16.742377410986407
209,205.71428571428572,-36.52655381203221,-17.59026122838209
210,206.7032967032967,-36.684229947102246,-18.452890283837103
211,207.6923076923077,-36.83051702335209,-19.330146504426992
212,208.6813186813187,-36.96462781515355,-20.22188050330309
213,209.6703296703297,-37.0857836950771,-21.1279122396567
214,210.65934065934067,-37.193215829206984,-22.0480317167772
215,211.64835164835165,-37.28616630399212,-22.981999713413366
216,212.63736263736266,-37.36388918559337,-23.92954854387258
217,213.62637362637363,-37.425651512961046,-24.890382842531988
218,214.6153846153846,-37.470734226110594,-25.86418036867863
219,215.60439560439562,-37.49843303126663,-26.85059282784264
220,216.5934065934066,-37.50805920471642,-27.849246706036617
221,217.58241758241758,-37.49894033735487,-28.85974411356111
222,218.57142857142858,-37.470421022018016,-29.881663635279203
223,219.56043956043956,-37.42186348579199,-30.914561184503427
224,220.54945054945057,-37.35264816955163,-31.957970857869793
225,221.53846153846155,-37.26217425703134,-33.011405788799806
226,222.52747252747253,-37.149860155758745,-34.074358997368684
227,223.51648351648353,-37.01514393219602,-35.146304234606276
228,224.5054945054945,-36.857483703432244,-36.22669681945662
229,225.49450549450552,-36.6763579877557,-37.31497446681172
230,226.4835164835165,-36.471266016411946,-38.4105581052147
231,227.47252747252747,-36.241728008817944,-39.51285268299842
232,228.46153846153848,-35.98728541346134,-40.621247961784356
